ID,Prob1
0, 0.56
1, 0.20
2, 0.30
3, 0.19
4, 0.16
5, 0.14
6, 0.31
7, 0.68
8, 0.62
9, 0.30
10, 0.50
11, 0.17
12, 0.46
13, 0.68
14, 0.24
15, 0.18
16, 0.35
17, 0.25
18, 0.38
19, 0.28
20, 0.30
21, 0.12
22, 0.39
23, 0.50
24, 0.16
25, 0.36
26, 0.49
27, 0.26
28, 0.27
29, 0.52
30, 0.17
31, 0.13
32, 0.40
33, 0.36
34, 0.32
35, 0.44
36, 0.18
37, 0.45
38, 0.42
39, 0.37
40, 0.44
41, 0.14
42, 0.47
43, 0.55
44, 0.56
45, 0.23
46, 0.21
47, 0.59
48, 0.36
49, 0.41
50, 0.61
51, 0.27
52, 0.39
53, 0.24
54, 0.63
55, 0.10
56, 0.55
57, 0.13
58, 0.13
59, 0.20
60, 0.42
61, 0.42
62, 0.32
63, 0.14
64, 0.22
65, 0.26
66, 0.74
67, 0.21
68, 0.29
69, 0.22
70, 0.79
71, 0.73
72, 0.58
73, 0.23
74, 0.19
75, 0.51
76, 0.11
77, 0.68
78, 0.24
79, 0.29
80, 0.41
81, 0.21
82, 0.17
83, 0.12
84, 0.21
85, 0.15
86, 0.35
87, 0.18
88, 0.12
89, 0.56
90, 0.24
91, 0.24
92, 0.30
93, 0.39
94, 0.27
95, 0.20
96, 0.37
97, 0.13
98, 0.19
99, 0.29
100, 0.10
101, 0.43
102, 0.45
103, 0.37
104, 0.31
105, 0.26
106, 0.38
107, 0.48
108, 0.36
109, 0.28
110, 0.39
111, 0.34
112, 0.20
113, 0.34
114, 0.33
115, 0.10
116, 0.11
117, 0.17
118, 0.18
119, 0.26
120, 0.31
121, 0.47
122, 0.75
123, 0.53
124, 0.27
125, 0.25
126, 0.62
127, 0.13
128, 0.31
129, 0.17
130, 0.35
131, 0.42
132, 0.24
133, 0.48
134, 0.34
135, 0.42
136, 0.21
137, 0.11
138, 0.33
139, 0.13
140, 0.14
141, 0.36
142, 0.56
143, 0.26
144, 0.55
145, 0.23
146, 0.48
147, 0.22
148, 0.38
149, 0.73
150, 0.71
151, 0.30
152, 0.64
153, 0.46
154, 0.78
155, 0.11
156, 0.40
157, 0.15
158, 0.19
159, 0.18
160, 0.36
161, 0.11
162, 0.19
163, 0.11
164, 0.11
165, 0.46
166, 0.19
167, 0.45
168, 0.11
169, 0.28
170, 0.12
171, 0.40
172, 0.28
173, 0.62
174, 0.23
175, 0.14
176, 0.26
177, 0.39
178, 0.53
179, 0.10
180, 0.61
181, 0.65
182, 0.13
183, 0.21
184, 0.66
185, 0.47
186, 0.46
187, 0.69
188, 0.26
189, 0.20
190, 0.85
191, 0.12
192, 0.51
193, 0.14
194, 0.28
195, 0.64
196, 0.10
197, 0.25
198, 0.34
199, 0.13
200, 0.12
201, 0.29
202, 0.66
203, 0.19
204, 0.43
205, 0.30
206, 0.14
207, 0.32
208, 0.21
209, 0.66
210, 0.35
211, 0.30
212, 0.71
213, 0.50
214, 0.49
215, 0.24
216, 0.39
217, 0.19
218, 0.22
219, 0.35
220, 0.26
221, 0.25
222, 0.15
223, 0.69
224, 0.39
225, 0.29
226, 0.50
227, 0.42
228, 0.61
229, 0.10
230, 0.28
231, 0.64
232, 0.46
233, 0.18
234, 0.29
235, 0.26
236, 0.25
237, 0.51
238, 0.63
239, 0.45
240, 0.34
241, 0.27
242, 0.30
243, 0.17
244, 0.25
245, 0.18
246, 0.21
247, 0.73
248, 0.51
249, 0.21
250, 0.76
251, 0.34
252, 0.11
253, 0.10
254, 0.46
255, 0.10
256, 0.56
257, 0.11
258, 0.76
259, 0.17
260, 0.61
261, 0.31
262, 0.17
263, 0.18
264, 0.20
265, 0.35
266, 0.11
267, 0.49
268, 0.37
269, 0.30
270, 0.12
271, 0.12
272, 0.33
273, 0.24
274, 0.46
275, 0.35
276, 0.76
277, 0.88
278, 0.29
279, 0.17
280, 0.79
281, 0.13
282, 0.14
283, 0.31
284, 0.11
285, 0.46
286, 0.67
287, 0.25
288, 0.23
289, 0.42
290, 0.14
291, 0.19
292, 0.23
293, 0.48
294, 0.18
295, 0.11
296, 0.29
297, 0.15
298, 0.33
299, 0.69
300, 0.19
301, 0.16
302, 0.37
303, 0.44
304, 0.34
305, 0.52
306, 0.42
307, 0.36
308, 0.12
309, 0.68
310, 0.41
311, 0.21
312, 0.31
313, 0.13
314, 0.59
315, 0.47
316, 0.10
317, 0.50
318, 0.24
319, 0.24
320, 0.20
321, 0.39
322, 0.46
323, 0.48
324, 0.25
325, 0.41
326, 0.42
327, 0.45
328, 0.44
329, 0.28
330, 0.11
331, 0.38
332, 0.28
333, 0.38
334, 0.69
335, 0.13
336, 0.50
337, 0.83
338, 0.34
339, 0.22
340, 0.46
341, 0.21
342, 0.11
343, 0.12
344, 0.36
345, 0.40
346, 0.47
347, 0.11
348, 0.11
349, 0.44
350, 0.15
351, 0.36
352, 0.34
353, 0.40
354, 0.39
355, 0.32
356, 0.19
357, 0.39
358, 0.37
359, 0.31
360, 0.21
361, 0.10
362, 0.32
363, 0.50
364, 0.34
365, 0.60
366, 0.24
367, 0.41
368, 0.24
369, 0.70
370, 0.15
371, 0.22
372, 0.34
373, 0.32
374, 0.47
375, 0.14
376, 0.62
377, 0.15
378, 0.40
379, 0.24
380, 0.56
381, 0.32
382, 0.28
383, 0.59
384, 0.41
385, 0.44
386, 0.26
387, 0.35
388, 0.16
389, 0.36
390, 0.12
391, 0.13
392, 0.59
393, 0.25
394, 0.33
395, 0.45
396, 0.77
397, 0.12
398, 0.27
399, 0.85
400, 0.46
401, 0.38
402, 0.11
403, 0.11
404, 0.66
405, 0.19
406, 0.37
407, 0.24
408, 0.22
409, 0.35
410, 0.17
411, 0.47
412, 0.21
413, 0.21
414, 0.12
415, 0.25
416, 0.41
417, 0.17
418, 0.20
419, 0.55
420, 0.54
421, 0.17
422, 0.36
423, 0.22
424, 0.32
425, 0.39
426, 0.24
427, 0.36
428, 0.24
429, 0.14
430, 0.48
431, 0.44
432, 0.19
433, 0.26
434, 0.58
435, 0.29
436, 0.47
437, 0.61
438, 0.46
439, 0.17
440, 0.38
441, 0.27
442, 0.72
443, 0.23
444, 0.11
445, 0.21
446, 0.53
447, 0.11
448, 0.83
449, 0.24
450, 0.37
451, 0.62
452, 0.67
453, 0.41
454, 0.36
455, 0.21
456, 0.63
457, 0.31
458, 0.45
459, 0.27
460, 0.52
461, 0.12
462, 0.15
463, 0.25
464, 0.18
465, 0.10
466, 0.26
467, 0.44
468, 0.20
469, 0.24
470, 0.43
471, 0.21
472, 0.20
473, 0.38
474, 0.23
475, 0.39
476, 0.17
477, 0.14
478, 0.37
479, 0.33
480, 0.35
481, 0.21
482, 0.21
483, 0.52
484, 0.28
485, 0.74
486, 0.46
487, 0.49
488, 0.44
489, 0.41
490, 0.18
491, 0.21
492, 0.18
493, 0.29
494, 0.47
495, 0.29
496, 0.79
497, 0.64
498, 0.77
499, 0.43
500, 0.26
501, 0.21
502, 0.36
503, 0.23
504, 0.58
505, 0.19
506, 0.36
507, 0.17
508, 0.13
509, 0.22
510, 0.53
511, 0.34
512, 0.17
513, 0.10
514, 0.42
515, 0.49
516, 0.10
517, 0.52
518, 0.58
519, 0.79
520, 0.72
521, 0.28
522, 0.31
523, 0.50
524, 0.20
525, 0.58
526, 0.19
527, 0.26
528, 0.44
529, 0.18
530, 0.12
531, 0.27
532, 0.41
533, 0.26
534, 0.76
535, 0.50
536, 0.29
537, 0.19
538, 0.15
539, 0.31
540, 0.11
541, 0.10
542, 0.45
543, 0.31
544, 0.23
545, 0.54
546, 0.36
547, 0.14
548, 0.72
549, 0.13
550, 0.37
551, 0.23
552, 0.64
553, 0.19
554, 0.24
555, 0.11
556, 0.25
557, 0.20
558, 0.50
559, 0.14
560, 0.41
561, 0.42
562, 0.27
563, 0.30
564, 0.28
565, 0.33
566, 0.11
567, 0.42
568, 0.37
569, 0.41
570, 0.41
571, 0.11
572, 0.28
573, 0.31
574, 0.39
575, 0.31
576, 0.28
577, 0.62
578, 0.31
579, 0.31
580, 0.48
581, 0.29
582, 0.37
583, 0.37
584, 0.16
585, 0.22
586, 0.55
587, 0.50
588, 0.26
589, 0.75
590, 0.17
591, 0.16
592, 0.53
593, 0.36
594, 0.22
595, 0.45
596, 0.35
597, 0.21
598, 0.19
599, 0.18
600, 0.39
601, 0.27
602, 0.20
603, 0.49
604, 0.11
605, 0.15
606, 0.48
607, 0.10
608, 0.54
609, 0.34
610, 0.49
611, 0.54
612, 0.28
613, 0.42
614, 0.41
615, 0.12
616, 0.42
617, 0.31
618, 0.19
619, 0.40
620, 0.53
621, 0.61
622, 0.26
623, 0.35
624, 0.13
625, 0.23
626, 0.25
627, 0.19
628, 0.57
629, 0.67
630, 0.41
631, 0.34
632, 0.36
633, 0.21
634, 0.20
635, 0.36
636, 0.46
637, 0.13
638, 0.47
639, 0.40
640, 0.19
641, 0.54
642, 0.41
643, 0.45
