ID,Prob1
0, 0.39
1, 0.22
2, 0.23
3, 0.18
4, 0.18
5, 0.14
6, 0.27
7, 0.68
8, 0.68
9, 0.28
10, 0.60
11, 0.14
12, 0.43
13, 0.69
14, 0.27
15, 0.19
16, 0.34
17, 0.31
18, 0.37
19, 0.30
20, 0.33
21, 0.21
22, 0.41
23, 0.59
24, 0.14
25, 0.39
26, 0.42
27, 0.26
28, 0.25
29, 0.47
30, 0.20
31, 0.11
32, 0.19
33, 0.34
34, 0.41
35, 0.46
36, 0.13
37, 0.45
38, 0.47
39, 0.41
40, 0.41
41, 0.13
42, 0.44
43, 0.56
44, 0.59
45, 0.24
46, 0.19
47, 0.53
48, 0.38
49, 0.35
50, 0.64
51, 0.28
52, 0.36
53, 0.19
54, 0.50
55, 0.14
56, 0.60
57, 0.16
58, 0.12
59, 0.18
60, 0.47
61, 0.42
62, 0.33
63, 0.17
64, 0.24
65, 0.25
66, 0.72
67, 0.19
68, 0.28
69, 0.25
70, 0.85
71, 0.69
72, 0.58
73, 0.23
74, 0.22
75, 0.49
76, 0.09
77, 0.63
78, 0.24
79, 0.29
80, 0.45
81, 0.21
82, 0.15
83, 0.15
84, 0.14
85, 0.17
86, 0.31
87, 0.17
88, 0.11
89, 0.64
90, 0.24
91, 0.24
92, 0.36
93, 0.50
94, 0.29
95, 0.17
96, 0.37
97, 0.14
98, 0.21
99, 0.27
100, 0.14
101, 0.49
102, 0.49
103, 0.38
104, 0.21
105, 0.21
106, 0.40
107, 0.40
108, 0.45
109, 0.24
110, 0.41
111, 0.35
112, 0.25
113, 0.30
114, 0.31
115, 0.10
116, 0.13
117, 0.17
118, 0.24
119, 0.27
120, 0.33
121, 0.45
122, 0.69
123, 0.41
124, 0.31
125, 0.25
126, 0.59
127, 0.17
128, 0.29
129, 0.19
130, 0.28
131, 0.42
132, 0.30
133, 0.49
134, 0.32
135, 0.41
136, 0.21
137, 0.08
138, 0.34
139, 0.15
140, 0.12
141, 0.32
142, 0.57
143, 0.25
144, 0.54
145, 0.16
146, 0.53
147, 0.15
148, 0.38
149, 0.68
150, 0.76
151, 0.30
152, 0.71
153, 0.25
154, 0.79
155, 0.10
156, 0.44
157, 0.15
158, 0.18
159, 0.15
160, 0.37
161, 0.16
162, 0.25
163, 0.15
164, 0.14
165, 0.44
166, 0.23
167, 0.46
168, 0.15
169, 0.26
170, 0.12
171, 0.51
172, 0.21
173, 0.63
174, 0.28
175, 0.16
176, 0.24
177, 0.35
178, 0.52
179, 0.12
180, 0.56
181, 0.71
182, 0.14
183, 0.21
184, 0.63
185, 0.46
186, 0.47
187, 0.66
188, 0.27
189, 0.22
190, 0.79
191, 0.14
192, 0.51
193, 0.11
194, 0.31
195, 0.67
196, 0.15
197, 0.17
198, 0.32
199, 0.14
200, 0.19
201, 0.30
202, 0.66
203, 0.19
204, 0.42
205, 0.28
206, 0.12
207, 0.26
208, 0.21
209, 0.65
210, 0.41
211, 0.31
212, 0.71
213, 0.49
214, 0.51
215, 0.14
216, 0.31
217, 0.17
218, 0.32
219, 0.38
220, 0.23
221, 0.24
222, 0.14
223, 0.70
224, 0.48
225, 0.32
226, 0.43
227, 0.56
228, 0.53
229, 0.14
230, 0.31
231, 0.70
232, 0.45
233, 0.23
234, 0.27
235, 0.23
236, 0.29
237, 0.51
238, 0.61
239, 0.47
240, 0.34
241, 0.29
242, 0.33
243, 0.22
244, 0.26
245, 0.16
246, 0.19
247, 0.72
248, 0.56
249, 0.21
250, 0.80
251, 0.33
252, 0.16
253, 0.10
254, 0.43
255, 0.09
256, 0.50
257, 0.11
258, 0.78
259, 0.17
260, 0.66
261, 0.38
262, 0.21
263, 0.21
264, 0.19
265, 0.32
266, 0.10
267, 0.42
268, 0.42
269, 0.24
270, 0.15
271, 0.14
272, 0.33
273, 0.31
274, 0.45
275, 0.35
276, 0.73
277, 0.80
278, 0.29
279, 0.17
280, 0.79
281, 0.15
282, 0.10
283, 0.26
284, 0.12
285, 0.46
286, 0.54
287, 0.23
288, 0.14
289, 0.42
290, 0.16
291, 0.18
